objectid,title,creator,date,description,technique,subject,location,latitude,longitude,type,format,rights,rightsstatement,display_template,object_location,image_small,image_thumb
object_001,Animal husbandry,"Muñoz Gómez, R. Antonio",2011,"Cartoon drawing of a cow and a bull, made during a meeting related to agriculture.",Ballpoint pen on paper,animals,Toronto,43.70011,-79.4163,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/animal_husbandry.png,/objects/small/animal_husbandry_sm.jpg,/objects/thumbs/animal_husbandry_th.jpg
object_002,Hamburger motif,"Muñoz Gómez, R. Antonio",2021,Sketch made as part of a series of motifs for a course on surface design.,Ballpoint pen and mixed media on paper,objects,Kitchener,43.42537,-80.5112,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/hamburger_motif.png,/objects/small/hamburger_motif_sm.jpg,/objects/thumbs/hamburger_motif_th.jpg
object_003,Fashion sketch,"Muñoz Gómez, R. Antonio",2012,Seated figure wearing a feathered hat and a long dress.,Ink on paper,people,Toronto,43.70011,-79.4163,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/fashion_sketch_02.png,/objects/small/fashion_sketch_02_sm.jpg,/objects/thumbs/fashion_sketch_02_th.jpg
object_004,Busker sketch,"Muñoz Gómez, R. Antonio",2012,Sketch of a violin player (back view).,Digital illustration,people,Kraków,50.06143,19.93658,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/busker_sketch.png,/objects/small/busker_sketch_sm.jpg,/objects/thumbs/busker_sketch_th.jpg
object_005,Man's profile,"Muñoz Gómez, R. Antonio",2012,Sketch of a man's head in 3/4 back profile.,Digital illustration,people,Kraków,50.06143,19.93658,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/man_profile.png,/objects/small/man_profile_sm.jpg,/objects/thumbs/man_profile_th.jpg
object_006,Meeting attendees,"Muñoz Gómez, R. Antonio",2013-11-07,"Sketch of three people (two men, one woman), made during a meeting.",Rollerpoint pen on paper,people,Toronto,43.70011,-79.4163,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/meeting_attendees.png,/objects/small/meeting_attendees_sm.jpg,/objects/thumbs/meeting_attendees_th.jpg
object_007,Meeting attendees (02),"Muñoz Gómez, R. Antonio",2009,Sketch of two people's faces (one man and one woman) drawn during a meeting. Portrayed subjects: E.S. and M.M.,Rollerpoint pen on paper,people,Toronto,43.70011,-79.4163,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/meeting_attendees_02.png,/objects/small/meeting_attendees_02_sm.jpg,/objects/thumbs/meeting_attendees_02_th.jpg
object_008,Mountains,"Muñoz Gómez, R. Antonio",2018,Sketch of mountains used while learning ProCreate.,Digital illustration,places,Prince George,53.9166,-122.75301,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/mountains.png,/objects/small/mountains_sm.jpg,/objects/thumbs/mountains_th.jpg
object_009,Parkour,"Muñoz Gómez, R. Antonio",2018,Sketches of five people in various parkour poses. Drawn as part of an online course on illustrating odd body shapes.,Digital illustration,people,Prince George,53.9166,-122.75301,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/parkour.png,/objects/small/parkour_sm.jpg,/objects/thumbs/parkour_th.jpg
object_010,Phone sketch,"Muñoz Gómez, R. Antonio",2012-03-23,Image of a BlackBerry phone drawn during a phone call.,Rollerpoint pen on paper,objects,Toronto,43.70011,-79.4163,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/phone_sketch.png,/objects/small/phone_sketch_sm.jpg,/objects/thumbs/phone_sketch_th.jpg
object_011,Untitled,"Muñoz Gómez, R. Antonio",2018,Abstract doodles.,Ballpoint pen on paper,abstracts,Prince George,53.9166,-122.75301,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/untitled_doodle_abstract.png,/objects/small/untitled_doodle_abstract_sm.jpg,/objects/thumbs/untitled_doodle_abstract_th.jpg
object_012,Untitled,"Muñoz Gómez, R. Antonio",2018,Doodle with clothing motifs.,Rollerpoint pen on paper,objects,Prince George,53.9166,-122.75301,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/untitled_doodle_clothing_motifs.png,/objects/small/untitled_doodle_clothing_motifs_sm.jpg,/objects/thumbs/untitled_doodle_clothing_motifs_th.jpg
object_013,Untitled,"Muñoz Gómez, R. Antonio",2009,"Drawing of a cartoon creature with lion head, winged body with cow spots, dinosaur tail, and elephant feet, holding a flower. (c.a. 2009-2010)",Rollerpoint pen on paper,creatures,Toronto,43.70011,-79.4163,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/untitled_drawing.png,/objects/small/untitled_drawing_sm.jpg,/objects/thumbs/untitled_drawing_th.jpg
object_014,Squirrel,"Muñoz Gómez, R. Antonio",2012,Drawing of a cartoon squirrel.,Ballpoint pen on paper,animals,Toronto,43.70011,-79.4163,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/cartoon_squirrel.png,/objects/small/cartoon_squirrel_sm.jpg,/objects/thumbs/cartoon_squirrel_th.jpg
object_015,Untitled,"Muñoz Gómez, R. Antonio",2012,Sketch of a woman sitting with a purse hanging from her shoulder.,Digital illustration,people,Kraków,50.06143,19.93658,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/woman_sitting.png,/objects/small/woman_sitting_sm.jpg,/objects/thumbs/woman_sitting_th.jpg
object_016,Silhouette fashion poses,"Muñoz Gómez, R. Antonio",2018,Overlapping silhouette drawings of people in various fashion poses.,Mixed media on paper,people,Prince George,53.9166,-122.75301,Image;StillImage,image/png,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/fashion_poses.png,/objects/small/fashion_poses_sm.jpg,/objects/thumbs/fashion_poses_th.jpg
object_017,Fashion illustration,"Muñoz Gómez, R. Antonio",2018,"Drawing of a person standing, right hand to ear as if holding a phone, left hand holding another object.",Mixed media on paper,people,Prince George,53.9166,-122.75301,Image;StillImage,image/jpg,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/fashion_sketch.jpg,/objects/small/fashion_sketch_sm.jpg,/objects/thumbs/fashion_sketch_th.jpg
object_018,People watching,"Muñoz Gómez, R. Antonio",2014,Sketches of people in Downtown Toronto as seen through my balcony.,Rollerpoint pen on paper,people,Toronto,43.70011,-79.4163,Image;StillImage,image/jpg,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/people_watching.jpg,/objects/small/people_watching_sm.jpg,/objects/thumbs/people_watching_th.jpg
object_019,Wedding dresses,"Muñoz Gómez, R. Antonio",2014,Two sketches of avantgarde wedding dresses on cartoon mannekin figures.,Pencil on paper,people,Toronto,43.70011,-79.4163,Image;StillImage,image/jpg,This image may not be harvested for the purposes of creating an AI training dataset.,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/wedding_dresses.jpg,/objects/small/wedding_dresses_sm.jpg,/objects/thumbs/wedding_dresses_th.jpg
